id,default_code,name,description_sale,description_purchase,categ_id,uom_id,uom_po_id,type,sale_ok,purchase_ok,tracking,image_1920
impa_product_232001,232001,Pilot Ladder Wooden Steps ISO 799,"Marine embarkation pilot ladder with non-slip hardwood steps, rubber bottom steps, and synthetic mildew-resistant side ropes. Certified to SOLAS / ISO 799 standards.","IMPA Code: 232001 - Marine embarkation pilot ladder with non-slip hardwood steps, rubber bottom steps, and synthetic mildew-resistant side ropes. Certified to SOLAS / ISO 799 standards.",All / Marine Stores / 23 - Rigging Equipment & General Deck Items,m,m,consu,True,True,none,https://images.unsplash.com/photo-1544620347-c4fd4a3d5957?w=600&auto=format&fit=crop&q=80
impa_product_232015,232015,Galvanized Bow Shackle Screw Pin 4.75T,High tensile carbon steel Grade 6 bow shackle with screw pin. Hot-dip galvanized for harsh marine offshore environments. Safety factor 6:1. WLL 4.75 Tonnes.,IMPA Code: 232015 - High tensile carbon steel Grade 6 bow shackle with screw pin. Hot-dip galvanized for harsh marine offshore environments. Safety factor 6:1. WLL 4.75 Tonnes.,All / Marine Stores / 23 - Rigging Equipment & General Deck Items,Units,Units,consu,True,True,none,https://images.unsplash.com/photo-1579783900882-c0d3dad7b119?w=600&auto=format&fit=crop&q=80
impa_product_232140,232140,Heavy Duty Deck Scupper Plug 3-Inch,Expandable neoprene rubber scupper drain plug with brass marine wing nut mechanism. Prevents accidental overboard fuel and oil discharge during bunkering operations.,IMPA Code: 232140 - Expandable neoprene rubber scupper drain plug with brass marine wing nut mechanism. Prevents accidental overboard fuel and oil discharge during bunkering operations.,All / Marine Stores / 23 - Rigging Equipment & General Deck Items,Units,Units,consu,True,True,none,https://images.unsplash.com/photo-1504917599217-d4dc5ebe6122?w=600&auto=format&fit=crop&q=80
impa_product_232250,232250,Nylon Mooring Tail 8-Strand 11-Meter,High elasticity 8-strand braided polyamide nylon mooring tail with protected soft eyes at both ends. Absorbs shock loads on ship mooring lines in high-swell berths.,IMPA Code: 232250 - High elasticity 8-strand braided polyamide nylon mooring tail with protected soft eyes at both ends. Absorbs shock loads on ship mooring lines in high-swell berths.,All / Marine Stores / 23 - Rigging Equipment & General Deck Items,Units,Units,consu,True,True,none,https://images.unsplash.com/photo-1518241353330-0f7941c2d9b5?w=600&auto=format&fit=crop&q=80
impa_product_310101,310101,SOLAS Approved Immersion Suit with Light,"Flame-retardant 5mm chloroprene waterproof immersion suit equipped with buddy line, lifting harness, whistle, and water-activated SOLAS strobe light. Guarantees 6h thermal protection.","IMPA Code: 310101 - Flame-retardant 5mm chloroprene waterproof immersion suit equipped with buddy line, lifting harness, whistle, and water-activated SOLAS strobe light. Guarantees 6h thermal protection.",All / Marine Stores / 31 - Safety Protective Gear & Lifeboat Equipment,Units,Units,consu,True,True,none,https://images.unsplash.com/photo-1584467735815-f778f274e296?w=600&auto=format&fit=crop&q=80
impa_product_310325,310325,SOLAS Inflatable Lifejacket 275N Twin Chamber,"Heavy-duty twin chamber automatic inflatable lifejacket with integrated safety harness, sprayhood, emergency locator light, and high-visibility retro-reflective SOLAS tape.","IMPA Code: 310325 - Heavy-duty twin chamber automatic inflatable lifejacket with integrated safety harness, sprayhood, emergency locator light, and high-visibility retro-reflective SOLAS tape.",All / Marine Stores / 31 - Safety Protective Gear & Lifeboat Equipment,Units,Units,consu,True,True,none,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=600&auto=format&fit=crop&q=80
impa_product_310512,310512,Full Body Fall Arrest Harness with Dorsal D-Ring,Ergonomic maritime fall protection harness made from oil and water repellent polyester webbing. Quick-connect buckles and breathable shoulder padding.,IMPA Code: 310512 - Ergonomic maritime fall protection harness made from oil and water repellent polyester webbing. Quick-connect buckles and breathable shoulder padding.,All / Marine Stores / 31 - Safety Protective Gear & Lifeboat Equipment,Units,Units,consu,True,True,none,https://images.unsplash.com/photo-1508873696983-2df5293cb32b?w=600&auto=format&fit=crop&q=80
impa_product_330105,330105,Dry Powder Fire Extinguisher 9KG Marine Cartridge,"Marine MED/Wheelmark approved 9kg ABC dry chemical powder fire extinguisher. Suitable for Class A (solids), Class B (flammable liquids), and Class C (electrical) marine fires.","IMPA Code: 330105 - Marine MED/Wheelmark approved 9kg ABC dry chemical powder fire extinguisher. Suitable for Class A (solids), Class B (flammable liquids), and Class C (electrical) marine fires.",All / Marine Stores / 33 - Fire Fighting & Safety Equipment,Units,Units,consu,True,True,none,https://images.unsplash.com/photo-1563245372-f21724e3856d?w=600&auto=format&fit=crop&q=80
impa_product_330701,330701,All-Rubber Marine Fire Hose 2-Inch 20M Storz Coupling,"Synthetic circular woven polyester jacket embedded in vulcanized nitrile rubber. High abrasion, ozone, and seawater resistance. Working pressure 16 bar. Fitted with brass Storz-C couplings.","IMPA Code: 330701 - Synthetic circular woven polyester jacket embedded in vulcanized nitrile rubber. High abrasion, ozone, and seawater resistance. Working pressure 16 bar. Fitted with brass Storz-C couplings.",All / Marine Stores / 33 - Fire Fighting & Safety Equipment,Units,Units,consu,True,True,none,https://images.unsplash.com/photo-1582139329536-e7284fece509?w=600&auto=format&fit=crop&q=80
impa_product_330830,330830,Self-Contained Breathing Apparatus (SCBA) 6L 300Bar,"SOLAS marine firefighting SCBA complete with carbon-composite cylinder (300 bar), balanced pressure reducer, positive pressure demand valve, and panoramic anti-fog full-face mask.","IMPA Code: 330830 - SOLAS marine firefighting SCBA complete with carbon-composite cylinder (300 bar), balanced pressure reducer, positive pressure demand valve, and panoramic anti-fog full-face mask.",All / Marine Stores / 33 - Fire Fighting & Safety Equipment,Units,Units,consu,True,True,none,https://images.unsplash.com/photo-1517486808906-6ca8b3f04846?w=600&auto=format&fit=crop&q=80
impa_product_350120,350120,Bunkering Fuel Oil Composite Hose 4-Inch 10M,Multi-layer thermoplastic composite fuel delivery hose with galvanized internal/external helix wire reinforcement. Ideal for vessel-to-bunker barge transfer of heavy fuel oil (HFO) and MGO.,IMPA Code: 350120 - Multi-layer thermoplastic composite fuel delivery hose with galvanized internal/external helix wire reinforcement. Ideal for vessel-to-bunker barge transfer of heavy fuel oil (HFO) and MGO.,All / Marine Stores / 35 - Hoses & Couplings,m,m,consu,True,True,none,https://images.unsplash.com/photo-1541888946425-d0fbb186c5f7?w=600&auto=format&fit=crop&q=80
impa_product_350315,350315,Camlock Quick Coupling Type C Female Coupler with Hose Shank 3-Inch,"Precision forged marine aluminum alloy Camlock Type C quick disconnect coupling with Buna-N sealing gasket. Operates up to 150 PSI for water, bilge, and washdown systems.","IMPA Code: 350315 - Precision forged marine aluminum alloy Camlock Type C quick disconnect coupling with Buna-N sealing gasket. Operates up to 150 PSI for water, bilge, and washdown systems.",All / Marine Stores / 35 - Hoses & Couplings,Units,Units,consu,True,True,none,https://images.unsplash.com/photo-1581092160607-ee22621dd758?w=600&auto=format&fit=crop&q=80
impa_product_590112,590112,Non-Sparking Beryllium Copper Slogging Ring Spanner 46mm,"Heavy forged non-sparking Cu-Be alloy striking ring spanner designed for explosive maritime environments (oil tankers, gas carriers, engine crankcases). Conforms to ATEX Zone 0/1/2.","IMPA Code: 590112 - Heavy forged non-sparking Cu-Be alloy striking ring spanner designed for explosive maritime environments (oil tankers, gas carriers, engine crankcases). Conforms to ATEX Zone 0/1/2.",All / Marine Stores / 59 - Hand Tools & Measuring Instruments,Units,Units,consu,True,True,none,https://images.unsplash.com/photo-1581783898377-1c85bf937427?w=600&auto=format&fit=crop&q=80
impa_product_590305,590305,Digital Torque Wrench 1/2-Inch Drive 40-200 Nm,"Professional reversible ratcheting digital torque wrench with LED peak buzzer indicator, memory logging, and certificate of calibration. Essential for engine cylinder head torquing.","IMPA Code: 590305 - Professional reversible ratcheting digital torque wrench with LED peak buzzer indicator, memory logging, and certificate of calibration. Essential for engine cylinder head torquing.",All / Marine Stores / 59 - Hand Tools & Measuring Instruments,Units,Units,consu,True,True,none,https://images.unsplash.com/photo-1530124566582-a618bc2615dc?w=600&auto=format&fit=crop&q=80
impa_product_590550,590550,Sounding Tape Steel with Brass Plumb Bob 20M,White enameled stainless steel oil tank gauging sounding tape fitted with heavy spark-proof brass plumb weight. Marked in metric millimeters for ullage and sounding measurement.,IMPA Code: 590550 - White enameled stainless steel oil tank gauging sounding tape fitted with heavy spark-proof brass plumb weight. Marked in metric millimeters for ullage and sounding measurement.,All / Marine Stores / 59 - Hand Tools & Measuring Instruments,Units,Units,consu,True,True,none,https://images.unsplash.com/photo-1586864387789-628af9feed72?w=600&auto=format&fit=crop&q=80
